age,gender,address,family_size,parent_status,mother_education,father_education,mother_job,father_job,study_time,past_failures,extra_support,family_support,paid_classes,activities,nursery,higher_ed_aspiration,internet_access,romantic,travel_time,free_time,go_out,dalc,walc,health,absences,G1,G2,login_frequency,assignment_submission_rate,attendance_rate,engagement_score,forum_posts,resource_access,G3,grade_label,pass_fail
15,M,Urban,GT3,Together,4,0,health,other,3,1,1,0,0,0,1,1,1,0,2,2,3,2,4,2,3.0,15.0,14.0,16.0,0.8340564910674442,0.7952639522363887,5.04195996538993,14.0,32.0,16.0,A,1
21,F,Urban,GT3,Apart,2,1,other,services,3,0,1,1,0,1,1,1,1,1,3,4,2,1,3,1,1.0,13.0,12.0,14.0,0.7447809518520512,0.5215544299431207,6.503474261277304,11.0,20.0,17.0,A,1
20,F,Urban,LE3,Together,3,2,services,at_home,2,0,1,0,0,0,1,1,1,1,1,4,2,1,1,2,1.0,17.0,19.0,24.0,0.7519230705831284,0.8481419156548469,7.42595125823084,17.0,34.0,20.0,A,1
18,F,Urban,GT3,Together,2,2,at_home,teacher,2,0,0,1,1,1,0,1,1,1,2,1,3,3,2,4,6.0,14.0,16.0,18.0,0.7955293536170895,0.6087549794677077,7.667163709469601,11.0,29.0,19.0,A,1
18,F,Urban,LE3,Together,3,3,health,teacher,3,0,0,1,0,1,1,1,0,1,1,2,1,1,2,2,13.0,17.0,15.0,22.0,0.8468803644542253,0.6385260597753128,8.143060239161583,10.0,42.0,17.0,A,1
21,F,Urban,GT3,Apart,4,1,other,other,2,0,1,0,0,1,1,0,1,0,2,4,1,1,3,3,3.0,14.0,13.0,15.0,0.6434625380467415,0.6078197481503307,8.08545104471577,9.0,36.0,16.0,A,1
15,F,Urban,GT3,Together,3,4,other,health,2,1,1,0,0,1,0,1,0,0,1,3,5,2,2,1,1.0,9.0,7.0,12.0,0.3221466207999278,0.6376810179294649,3.6004325847347993,9.0,28.0,9.0,F,0
20,M,Urban,LE3,Together,2,2,services,at_home,2,0,1,0,1,0,1,1,1,1,1,3,5,2,3,3,3.0,14.0,15.0,21.0,0.6244198869262023,0.762899050187491,9.17339265777278,16.0,35.0,17.0,A,1
16,F,Urban,LE3,Together,2,1,other,other,2,0,0,1,0,1,1,1,0,0,1,2,3,2,3,5,6.0,14.0,14.0,14.0,0.8360839477550732,0.7504204512061483,5.273445595939004,10.0,30.0,17.0,A,1
15,M,Urban,GT3,Together,4,0,teacher,teacher,2,0,1,1,0,0,1,1,1,1,2,4,5,1,2,4,1.0,12.0,14.0,14.0,0.7055773813477308,0.6117967062342136,4.520490058210836,14.0,26.0,17.0,A,1
